id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
131000,"73,021","41,292",354,441,"40,497",248,"5,678",93,599,126,"4,722","3,165","1,440","23,916",510
131100,"62,552","36,708",270,272,"36,166",234,"5,466",59,454,95,"8,212","2,555","1,237","17,422",432
131200,"215,973","119,630","1,554",928,"117,148","1,177","28,788",170,"4,050",512,"2,885","12,034","4,540","58,179","4,813"
131300,"60,353","28,633",344,158,"28,131",220,"5,540",31,378,98,"1,009","2,092",791,"17,278",694
131400,"63,708","34,996",413,247,"34,336",245,"8,188",90,671,117,"1,438","3,241","1,994","17,771",581
131500,"82,046","43,899",535,447,"42,917",221,"9,534",73,"1,409",188,"3,107","4,916","2,243","20,062","1,164"
131600,"70,412","35,603",457,263,"34,883",291,"7,238",76,668,113,"1,541","3,584","1,993","18,562",817
131700,"263,521","142,195","1,796","1,313","139,086","1,010","32,562",282,"3,967",780,"5,322","16,693","7,109","66,931","4,430"
131800,"33,459","17,182",195,143,"16,844",103,"3,369",40,255,73,951,"1,325",698,"9,697",333
140100,"34,063","17,485",209,155,"17,121",147,"4,630",58,560,46,521,"2,198",912,"7,745",304
140200,"12,538","6,423",86,70,"6,267",49,"1,305",23,234,20,261,653,280,"3,349",93
140300,"19,924","8,978",137,76,"8,765",56,"2,367",27,422,25,269,906,565,"3,989",139
140400,"6,402","3,362",68,26,"3,268",24,881,11,733,12,82,328,158,992,47
140500,"23,408","10,472",124,95,"10,253",67,"2,448",18,702,19,302,"1,225",428,"4,802",242
140600,"20,753","10,582",118,103,"10,361",70,"2,931",42,410,37,282,"1,303",540,"4,533",213
140700,"8,423","4,183",46,58,"4,079",27,"1,105",20,334,9,138,450,259,"1,686",51
140800,"3,428","1,872",33,21,"1,818",12,437,7,94,6,78,274,135,728,47
140900,"17,093","8,502",77,56,"8,369",40,"2,674",16,971,11,258,715,353,"3,233",98
141000,"17,267","9,298",133,85,"9,080",51,"2,687",16,309,25,307,"1,237",317,"3,855",276
141100,"7,575","4,343",58,76,"4,209",41,647,14,52,8,125,405,217,"2,653",47
141200,"5,047","2,555",34,18,"2,503",9,694,3,168,4,93,259,131,"1,098",44
141300,"6,540","4,117",44,40,"4,033",25,781,10,73,9,129,400,217,"2,346",43
141400,"18,028","9,412",113,114,"9,185",59,"1,579",16,131,10,286,772,335,"5,837",160
141500,"18,788","7,945",115,74,"7,756",39,"2,040",17,400,22,279,988,411,"3,409",151
141600,"52,452","27,384",303,217,"26,864",185,"6,937",52,877,45,771,"2,496","1,153","13,752",596
141700,"3,393","2,198",32,28,"2,138",18,421,7,50,2,83,314,104,"1,109",30
141800,"36,266","18,728",258,236,"18,234",126,"4,079",50,410,43,459,"2,106",768,"9,829",364
141900,"31,959","17,192",241,164,"16,787",122,"4,499",39,727,53,499,"2,314",781,"7,471",282
142000,"6,321","3,431",44,33,"3,354",17,984,8,160,9,117,498,169,"1,331",61
142100,"42,863","21,961",288,240,"21,433",162,"2,024",58,159,32,534,"1,239",489,"16,372",364
